Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
563NM_End_ABE8e_HEK_1_1	Reference	66.57959658	33.42040342	18791	6891	6891	4588	2303	0	48	207	2107	36	160	2048	0	12	47	0
563NM_End_ABE8e_HEK_1_2	Reference	62.84019539	37.15980461	5800	5732	5732	3602	2130	0	46	141	1984	35	111	1943	0	11	30	0
563NM_End_ABE8e_HEK_2_1	Reference	65.2586708	34.7413292	5208	5161	5161	3368	1793	0	32	150	1651	26	116	1611	0	6	34	0
563NM_End_ABE8e_HEK_2_2	Reference	67.53114671	32.46885329	3981	3933	3933	2656	1277	0	29	83	1183	24	70	1165	0	5	13	0
563NM_End_ABE8e_K562_1_1	Reference	75.40956479	24.59043521	6233	6043	6043	4557	1486	0	21	28	1449	18	19	1437	0	3	9	0
563NM_End_ABE8e_K562_1_2	Reference	57.86848073	42.13151927	4842	2205	2205	1276	929	0	14	16	906	11	12	899	0	3	4	0
563NM_End_ABE8e_K562_2_1	Reference	47.62890868	52.37109132	5002	4829	4829	2300	2529	0	50	52	2451	43	35	2427	0	7	17	0
563NM_End_ABE8e_K562_2_2	Reference	59.9840468	40.0159532	3906	3761	3761	2256	1505	0	32	34	1458	24	23	1439	0	8	11	0
563NM_Rep_ABE8e_HEK_1_1	Reference	58.48176928	41.51823072	8447	8365	8365	4892	3473	0	93	77	3343	74	56	3303	0	19	21	0
563NM_Rep_ABE8e_HEK_1_2	Reference	53.71368934	46.28631066	5799	5749	5749	3088	2661	0	68	58	2579	41	41	2535	0	27	17	0
563NM_Rep_ABE8e_HEK_2_1	Reference	57.45291256	42.54708744	8089	8017	8017	4606	3411	0	84	64	3315	59	37	3263	0	25	27	0
563NM_Rep_ABE8e_HEK_2_2	Reference	58.43018058	41.56981942	5631	5593	5593	3268	2325	0	57	72	2237	38	50	2196	0	19	22	0
563NM_Rep_ABE8e_K562_1_1	Reference	80.87098692	19.12901308	6784	6728	6728	5441	1287	0	13	27	1256	7	24	1247	0	6	3	0
563NM_Rep_ABE8e_K562_1_2	Reference	64.23616027	35.76383973	7132	7063	7063	4537	2526	0	38	25	2475	32	19	2463	0	6	6	0
563NM_Rep_ABE8e_K562_2_1	Reference	57.91666667	42.08333333	6789	6720	6720	3892	2828	0	35	56	2758	31	39	2737	0	4	17	0
563NM_Rep_ABE8e_K562_2_2	Reference	65.47819802	34.52180198	8383	8302	8302	5436	2866	0	43	44	2794	38	34	2779	0	5	10	0
564NM_End_ABE8e_HEK_1_1	Reference	50.53974485	49.46025515	9426	9171	9171	4635	4536	0	71	29	4487	36	13	4436	0	35	16	0
