Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
563NM_End_BE4max_HEK_1_1	Reference	64.69947057	35.30052943	6543	6422	6422	4155	2267	0	5	47	2230	5	32	2215	0	0	15	0
563NM_End_BE4max_HEK_1_2	Reference	53.86181621	46.13818379	7596	7367	7367	3968	3399	0	9	68	3344	7	48	3323	0	1	19	1
563NM_End_BE4max_HEK_2_1	Reference	68.78392424	31.21607576	8769	8659	8659	5956	2703	0	6	42	2667	5	31	2656	0	0	10	1
563NM_End_BE4max_HEK_2_2	Reference	61.44708423	38.55291577	5710	5556	5556	3414	2142	0	2	32	2121	1	20	2109	0	0	11	1
563NM_End_BE4max_K562_1_1	Reference	55.5726257	44.4273743	7761	7160	7160	3979	3181	0	7	129	3111	4	66	3046	0	2	62	1
563NM_End_BE4max_K562_1_2	Reference	53.35051546	46.64948454	3156	2716	2716	1449	1267	0	9	64	1227	2	38	1196	0	5	24	2
563NM_End_BE4max_K562_2_1	Reference	66.73009832	33.26990168	6605	6306	6306	4208	2098	0	5	44	2066	3	29	2049	0	2	15	0
563NM_End_BE4max_K562_2_2	Reference	55.625	44.375	2993	2880	2880	1602	1278	0	5	49	1246	2	30	1226	0	1	17	2
563NM_Rep_BE4max_HEK_1_1	Reference	57.59272218	42.40727782	4400	4287	4287	2469	1818	0	6	29	1789	3	26	1783	0	3	3	0
563NM_Rep_BE4max_HEK_1_2	Reference	41.13400247	58.86599753	5747	5679	5679	2336	3343	0	16	32	3305	10	28	3295	0	6	4	0
563NM_Rep_BE4max_HEK_2_1	Reference	64.2640108	35.7359892	5983	5924	5924	3807	2117	0	3	18	2099	3	15	2096	0	0	3	0
563NM_Rep_BE4max_HEK_2_2	Reference	50.50858763	49.49141237	6061	5997	5997	3029	2968	0	15	39	2935	6	27	2914	0	9	12	0
563NM_Rep_BE4max_K562_1_1	Reference	67.97517455	32.02482545	6523	6445	6445	4381	2064	0	3	7	2058	3	3	2054	0	0	4	0
563NM_Rep_BE4max_K562_1_2	Reference	62.45106383	37.54893617	5934	5875	5875	3669	2206	0	0	20	2188	0	18	2186	0	0	2	0
563NM_Rep_BE4max_K562_2_1	Reference	75.614489	24.385511	7779	7730	7730	5845	1885	0	1	18	1870	1	14	1866	0	0	4	0
563NM_Rep_BE4max_K562_2_2	Reference	64.80654762	35.19345238	8135	8064	8064	5226	2838	0	5	24	2815	2	21	2809	0	3	3	0
564NM_End_BE4max_HEK_1_1	Reference	63.13453001	36.86546999	10813	10362	10362	6542	3820	0	159	833	3035	114	671	2828	0	45	162	0
564NM_End_BE4max_HEK_1_2	Reference	50.61571125	49.38428875	12159	11775	11775	5960	5815	0	275	1133	4728	196	891	4424	0	62	225	17
564NM_End_BE4max_HEK_2_1	Reference	74.26630671	25.73369329	11706	11483	11483	8528	2955	0	84	551	2430	59	466	2320	0	25	85	0
564NM_End_BE4max_HEK_2_2	Reference	57.20924229	42.79075771	7938	7747	7747	4432	3315	0	161	575	2765	92	458	2582	0	66	114	3
564NM_End_BE4max_K562_1_1	Reference	23.49102773	76.50897227	12355	11647	11647	2736	8911	0	29	148	8790	16	105	8734	0	13	43	0
564NM_End_BE4max_K562_1_2	Reference	19.21831138	80.78168862	9971	9262	9262	1780	7482	0	17	186	7347	7	128	7280	0	9	57	1
564NM_End_BE4max_K562_2_1	Reference	26.89663076	73.10336924	9045	8726	8726	2347	6379	0	16	70	6321	6	52	6293	0	10	18	0
564NM_End_BE4max_K562_2_2	Reference	20.21475257	79.78524743	4575	4284	4284	866	3418	0	11	57	3370	5	43	3350	0	6	14	0
564NM_Rep_BE4max_HEK_1_1	Reference	58.49601594	41.50398406	10512	10040	10040	5873	4167	0	240	1180	3191	126	850	2787	0	74	290	40
564NM_Rep_BE4max_HEK_1_2	Reference	46.6376192	53.3623808	12577	12164	12164	5673	6491	0	417	1696	4985	247	1258	4426	1	122	390	47
564NM_Rep_BE4max_HEK_2_1	Reference	70.35488111	29.64511889	8803	8369	8369	5888	2481	0	83	436	2055	58	368	1970	0	17	60	8
564NM_Rep_BE4max_HEK_2_2	Reference	53.15308151	46.84691849	12804	12575	12575	6684	5891	0	440	1448	4558	278	1055	4058	0	107	338	55
564NM_Rep_BE4max_K562_1_1	Reference	79.8337913	20.1662087	15184	14921	14921	11912	3009	0	118	728	2404	74	529	2182	2	25	180	17
564NM_Rep_BE4max_K562_1_2	Reference	72.88676236	27.11323764	11439	11286	11286	8226	3060	0	110	684	2454	75	530	2276	1	25	144	9
564NM_Rep_BE4max_K562_2_1	Reference	87.04154495	12.95845505	12489	12324	12324	10727	1597	0	63	384	1270	48	279	1157	0	8	98	7
564NM_Rep_BE4max_K562_2_2	Reference	71.20618014	28.79381986	17360	17087	17087	12167	4920	0	208	1099	3963	133	823	3646	1	42	243	32
565NM_End_BE4max_HEK_1_1	Reference	59.51094299	40.48905701	14880	14804	14804	8810	5994	0	17	90	5902	15	77	5887	0	2	13	0
565NM_End_BE4max_HEK_1_2	Reference	60.38163612	39.61836388	15933	15879	15879	9588	6291	0	27	20	6251	27	13	6244	0	0	7	0
565NM_End_BE4max_HEK_2_1	Reference	62.06425154	37.93574846	16175	16093	16093	9988	6105	0	15	102	6011	11	83	5988	0	4	19	0
565NM_End_BE4max_HEK_2_2	Reference	63.16693874	36.83306126	11700	11639	11639	7352	4287	0	15	23	4255	11	21	4249	0	4	2	0
565NM_End_BE4max_K562_1_1	Reference	77.56579351	22.43420649	16371	16301	16301	12644	3657	0	5	24	3633	2	22	3628	0	3	2	0
565NM_End_BE4max_K562_1_2	Reference	77.00654353	22.99345647	12131	12073	12073	9297	2776	0	10	22	2752	7	17	2747	0	0	2	3
565NM_End_BE4max_K562_2_1	Reference	85.42586235	14.57413765	12291	12234	12234	10451	1783	0	4	14	1768	3	12	1765	0	1	2	0
565NM_End_BE4max_K562_2_2	Reference	78.51121589	21.48878411	7020	6999	6999	5495	1504	0	5	7	1495	3	6	1492	0	2	1	0
565NM_Rep_BE4max_HEK_1_1	Reference	67.8566939	32.1433061	12092	7955	7955	5398	2557	0	6	30	2527	5	25	2522	0	0	4	1
565NM_Rep_BE4max_HEK_1_2	Reference	76.70190275	23.29809725	8569	4730	4730	3628	1102	0	4	9	1090	4	8	1089	0	0	1	0
565NM_Rep_BE4max_HEK_2_1	Reference	72.32011747	27.67988253	8543	5448	5448	3940	1508	0	4	25	1487	2	19	1480	0	1	5	1
565NM_Rep_BE4max_HEK_2_2	Reference	75.99659526	24.00340474	10360	7049	7049	5357	1692	0	3	18	1675	2	15	1672	0	0	2	1
565NM_Rep_BE4max_K562_1_1	Reference	81.40655106	18.59344894	8924	6228	6228	5070	1158	0	0	3	1155	0	3	1155	0	0	0	0
565NM_Rep_BE4max_K562_1_2	Reference	79.54335793	20.45664207	5984	4336	4336	3449	887	0	1	4	885	0	2	883	0	0	1	1
565NM_Rep_BE4max_K562_2_1	Reference	88.12260536	11.87739464	9191	7047	7047	6210	837	0	2	9	830	0	7	826	0	2	2	0
565NM_Rep_BE4max_K562_2_2	Reference	79.33435218	20.66564782	9924	5889	5889	4672	1217	0	2	5	1211	1	4	1211	1	0	0	0
566NM_End_BE4max_HEK_1_1	Reference	69.77077364	30.22922636	9192	9074	9074	6331	2743	0	134	406	2619	26	98	2203	0	108	308	0
