Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
563NM_End_Cas9_HEK_1_1	Reference	74.40529961	25.59470039	3528	3321	3321	2471	850	0	518	278	93	502	255	54	0	16	23	0
563NM_End_Cas9_HEK_1_2	Reference	77.90441912	22.09558088	5102	5001	5001	3896	1105	0	645	375	133	620	352	85	0	25	23	0
563NM_End_Cas9_HEK_2_1	Reference	75.93368555	24.06631445	5634	5489	5489	4168	1321	0	843	406	120	816	384	73	1	26	21	0
563NM_End_Cas9_HEK_2_2	Reference	79.00685566	20.99314434	5493	5397	5397	4264	1133	0	700	344	127	681	325	89	0	19	19	0
563NM_End_Cas9_K562_1_1	Reference	81.61488819	18.38511181	6787	6663	6663	5438	1225	0	597	526	136	581	508	102	0	16	18	0
563NM_End_Cas9_K562_1_2	Reference	78.92228739	21.07771261	5785	5456	5456	4306	1150	0	502	560	162	481	507	91	0	18	50	3
563NM_End_Cas9_K562_2_2	Reference	78.59804378	21.40195622	4468	4294	4294	3375	919	0	434	420	111	422	386	65	0	12	34	0
563NM_Rep_Cas9_HEK_1_1	Reference	60.0194974	39.9805026	9581	9232	9232	5541	3691	0	2758	816	163	2730	797	118	1	27	18	0
563NM_Rep_Cas9_HEK_1_2	Reference	70.23579436	29.76420564	5350	5174	5174	3634	1540	0	1124	372	80	1101	359	44	0	23	13	0
563NM_Rep_Cas9_HEK_2_1	Reference	77.05021581	22.94978419	9762	9499	9499	7319	2180	0	1600	491	126	1585	469	89	0	15	22	0
563NM_Rep_Cas9_HEK_2_2	Reference	70.42315282	29.57684718	4712	4561	4561	3212	1349	0	981	324	74	964	310	45	1	16	13	0
563NM_Rep_Cas9_K562_1_1	Reference	86.95720579	13.04279421	6560	6356	6356	5527	829	0	447	322	82	439	308	60	0	8	14	0
563NM_Rep_Cas9_K562_1_2	Reference	84.13497859	15.86502141	4173	3971	3971	3341	630	0	359	230	61	355	214	41	0	4	16	0
563NM_Rep_Cas9_K562_2_1	Reference	88.47029077	11.52970923	4161	3955	3955	3499	456	0	192	229	45	191	220	35	0	1	9	0
563NM_Rep_Cas9_K562_2_2	Reference	83.16970547	16.83029453	5120	4991	4991	4151	840	0	497	300	58	490	292	43	0	7	8	0
564NM_End_Cas9_HEK_1_1	Reference	61.25097733	38.74902267	6622	6395	6395	3917	2478	0	879	1538	118	860	1500	61	0	19	38	0
564NM_End_Cas9_HEK_1_2	Reference	50.43014265	49.56985735	9359	9183	9183	4631	4552	0	1767	2713	202	1705	2645	74	0	60	66	2
564NM_End_Cas9_HEK_2_1	Reference	66.25330688	33.74669312	6240	6048	6048	4007	2041	0	819	1161	111	803	1127	61	0	16	34	0
564NM_End_Cas9_HEK_2_2	Reference	49.04333606	50.95666394	6227	6115	6115	2999	3116	0	1143	1895	186	1095	1835	78	0	48	60	0
564NM_End_Cas9_K562_1_1	Reference	18.74238115	81.25761885	10648	9844	9844	1845	7999	0	534	1683	6476	124	1399	5782	0	410	284	0
564NM_End_Cas9_K562_1_2	Reference	21.91261336	78.08738664	12620	12130	12130	2658	9472	0	883	1677	7915	229	1328	6912	0	654	349	0
