Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
1_NM_PE2_1_1	Reference	96.55329314	3.44670686	9637	9145	8791	8488	303	0	22	48	237	21	45	233	0	1	3	0
1_NM_PE2_1_1	HDR	93.81107492	6.18892508	9637	9145	307	288	19	0	1	4	15	0	4	14	0	1	0	0
1_NM_PE2_1_2	Reference	97.11036324	2.88963676	9251	8884	8617	8368	249	0	6	10	235	6	8	233	0	0	2	0
1_NM_PE2_1_2	HDR	96.72131148	3.27868852	9251	8884	244	236	8	0	1	1	6	1	1	6	0	0	0	0
1_TD_PE2_1_1	Reference	97.26686217	2.73313783	9377	9116	8525	8292	233	0	12	14	209	11	13	207	0	1	1	0
1_TD_PE2_1_1	HDR	96.44670051	3.55329949	9377	9116	591	570	21	0	2	4	15	2	4	15	0	0	0	0
1_TD_PE2_1_2	Reference	97.34111543	2.65888457	10214	9696	9252	9006	246	0	6	6	236	4	6	234	0	2	0	0
1_TD_PE2_1_2	HDR	95.4954955	4.5045045	10214	9696	444	424	20	0	0	4	16	0	4	16	0	0	0	0
10_NM_PE2_1_1	Reference	97.08737864	2.91262136	4516	4373	3193	3100	93	0	0	3	90	0	3	90	0	0	0	0
10_NM_PE2_1_1	HDR	95.63356164	4.36643836	4516	4373	1168	1117	51	0	0	8	43	0	8	43	0	0	0	0
10_NM_PE2_1_2	Reference	97.32836285	2.67163715	4293	4168	3219	3133	86	0	0	1	85	0	1	85	0	0	0	0
10_NM_PE2_1_2	HDR	96.18644068	3.81355932	4293	4168	944	908	36	0	2	1	33	2	1	33	0	0	0	0
10_TD_PE2_1_1	Reference	97.44998038	2.55001962	12822	12755	12745	12420	325	0	4	6	319	3	3	316	0	0	2	1
10_TD_PE2_1_1	HDR	50	50	12822	12755	10	5	5	0	4	1	4	0	1	0	0	4	0	0
10_TD_PE2_1_2	Reference	97.61317862	2.38682138	16723	16634	16633	16236	397	0	1	9	390	1	6	387	0	0	3	0
10_TD_PE2_1_2	HDR	100	0	16723	16634	1	1	0	0	0	0	0	0	0	0	0	0	0	0
11_NM_PE2_1_1	Reference	95.61051005	4.38948995	4544	4367	3235	3093	142	0	0	51	107	0	35	91	0	0	16	0
11_NM_PE2_1_1	HDR	68.28621908	31.71378092	4544	4367	1132	773	359	0	3	70	301	1	57	286	0	2	13	0
11_NM_PE2_1_2	Reference	96.63220089	3.36779911	4489	4311	3385	3271	114	0	1	17	101	1	12	96	0	0	5	0
11_NM_PE2_1_2	HDR	62.31101512	37.68898488	4489	4311	926	577	349	0	7	78	279	4	66	264	0	3	12	0
11_TD_PE2_1_1	Reference	97.49661705	2.50338295	3069	2998	2956	2882	74	0	0	2	72	0	2	72	0	0	0	0
11_TD_PE2_1_1	HDR	97.61904762	2.38095238	3069	2998	42	41	1	0	0	0	1	0	0	1	0	0	0	0
11_TD_PE2_1_2	Reference	97.82285328	2.17714672	7709	7506	7395	7234	161	0	0	5	158	0	3	156	0	0	2	0
11_TD_PE2_1_2	HDR	96.3963964	3.6036036	7709	7506	111	107	4	0	0	0	4	0	0	4	0	0	0	0
12_NM_PE2_1_1	Reference	96.33667684	3.66332316	7886	7549	2293	2209	84	0	2	2	80	2	2	80	0	0	0	0
12_NM_PE2_1_1	HDR	96.05714286	3.94285714	7886	7549	5250	5043	207	0	9	4	194	9	4	194	0	0	0	0
12_NM_PE2_1_2	Reference	96.66097977	3.33902023	8917	8524	4103	3966	137	0	4	0	134	3	0	133	0	1	0	0
12_NM_PE2_1_2	HDR	96.43424938	3.56575062	8917	8524	4403	4246	157	0	4	6	150	3	4	147	0	1	2	0
