Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
10_TD_PE2_1_1	Reference	97.30681907	2.69318093	12822	12783	12773	12429	344	0	4	6	338	3	3	335	0	0	2	1
10_TD_PE2_1_1	HDR	50	50	12822	12783	10	5	5	0	4	1	4	0	1	0	0	4	0	0
10_TD_PE2_1_2	Reference	97.49744944	2.50255056	16723	16664	16663	16246	417	0	1	10	410	1	6	406	0	0	4	0
10_TD_PE2_1_2	HDR	100	0	16723	16664	1	1	0	0	0	0	0	0	0	0	0	0	0	0
29_TD_PE2_1_1	Reference	96.01434835	3.98565165	12607	12224	7527	7227	300	0	2	7	298	1	1	291	0	1	6	0
29_TD_PE2_1_1	HDR	92.37649063	7.62350937	12607	12224	4696	4338	358	0	2	6	355	1	2	351	0	0	3	1
29_TD_PE2_1_2	Reference	96.1298509	3.8701491	16339	15878	9457	9091	366	0	1	16	361	0	5	350	0	0	10	1
29_TD_PE2_1_2	HDR	91.93146417	8.06853583	16339	15878	6420	5902	518	0	11	9	505	6	7	498	0	5	2	0
46_TD_PE2_1_1	Reference	93.36130927	6.63869073	15438	11957	11915	11124	791	0	9	19	784	4	3	763	0	5	16	0
46_TD_PE2_1_1	HDR	61.9047619	38.0952381	15438	11957	42	26	16	0	4	11	5	3	8	2	0	0	2	1
47_TD_PE2_1_1	Reference	94.7093403	5.2906597	16826	12626	12248	11600	648	0	9	11	645	0	2	630	1	7	7	1
47_TD_PE2_1_1	HDR	91.26984127	8.73015873	16826	12626	378	345	33	0	1	3	33	0	0	29	0	1	3	0
48_TD_PE2_1_1	Reference	89.94878361	10.05121639	6861	3253	3124	2810	314	0	9	3	313	1	0	302	0	8	3	0
48_TD_PE2_1_1	HDR	86.91588785	13.08411215	6861	3253	107	93	14	0	1	1	14	0	0	13	0	0	0	1
