Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
503NM_End_PE_HEK_1_1	Reference	98.18260493	1.81739507	2514	2428	2311	2269	42	0	0	0	42	0	0	42	0	0	0	0
503NM_End_PE_HEK_1_1	HDR	96.58119658	3.41880342	2514	2428	117	113	4	0	0	0	4	0	0	4	0	0	0	0
503NM_End_PE_HEK_1_2	Reference	97.65410959	2.34589041	6070	6011	5840	5703	137	0	0	0	137	0	0	137	0	0	0	0
503NM_End_PE_HEK_1_2	HDR	98.24561404	1.75438596	6070	6011	171	168	3	0	0	0	3	0	0	3	0	0	0	0
503NM_End_PE_HEK_2_1	Reference	98.27497865	1.72502135	6186	6069	5855	5754	101	0	0	0	101	0	0	101	0	0	0	0
503NM_End_PE_HEK_2_1	HDR	95.3271028	4.6728972	6186	6069	214	204	10	0	0	0	10	0	0	10	0	0	0	0
503NM_End_PE_HEK_2_2	Reference	97.36525344	2.63474656	7904	7815	7477	7280	197	0	0	0	197	0	0	197	0	0	0	0
503NM_End_PE_HEK_2_2	HDR	96.15384615	3.84615385	7904	7815	338	325	13	0	0	0	13	0	0	13	0	0	0	0
503NM_End_PE_K562_1_1	Reference	92.55349913	7.44650087	8247	8056	6916	6401	515	0	1	6	514	0	1	508	0	1	5	0
503NM_End_PE_K562_1_1	HDR	91.66666667	8.33333333	8247	8056	1140	1045	95	0	4	0	93	2	0	91	0	2	0	0
503NM_End_PE_K562_1_2	Reference	97.98387097	2.01612903	4029	3926	3472	3402	70	0	0	1	69	0	1	69	0	0	0	0
503NM_End_PE_K562_1_2	HDR	97.35682819	2.64317181	4029	3926	454	442	12	0	0	1	11	0	1	11	0	0	0	0
503NM_End_PE_K562_2_1	Reference	95.05697051	4.94302949	7273	7045	5968	5673	295	0	0	4	292	0	3	291	0	0	1	0
503NM_End_PE_K562_2_1	HDR	93.8718663	6.1281337	7273	7045	1077	1011	66	0	0	0	66	0	0	66	0	0	0	0
503NM_End_PE_K562_2_2	Reference	97.99044966	2.00955034	5991	5829	5026	4925	101	0	0	1	100	0	1	100	0	0	0	0
503NM_End_PE_K562_2_2	HDR	96.63760897	3.36239103	5991	5829	803	776	27	0	0	0	27	0	0	27	0	0	0	0
503NM_Rep_PE_HEK_1_1	Reference	98.75976114	1.24023886	2931	2912	2177	2150	27	0	0	0	27	0	0	27	0	0	0	0
503NM_Rep_PE_HEK_1_1	HDR	97.41496599	2.58503401	2931	2912	735	716	19	0	1	6	18	1	0	12	0	0	6	0
503NM_Rep_PE_HEK_2_1	Reference	98.75088381	1.24911619	5320	5280	4243	4190	53	0	0	4	51	0	2	49	0	0	2	0
503NM_Rep_PE_HEK_2_1	HDR	96.91417551	3.08582449	5320	5280	1037	1005	32	0	1	5	31	1	0	26	0	0	5	0
503NM_Rep_PE_K562_1_1	Reference	98.04038005	1.95961995	5274	5191	5052	4953	99	0	0	1	98	0	1	98	0	0	0	0
503NM_Rep_PE_K562_1_1	HDR	97.12230216	2.87769784	5274	5191	139	135	4	0	0	2	4	0	0	2	0	0	2	0
