ID,full_model,slim_model,Title,Accession,Dataset,Genome assembly,Technical replicates,Biological replicates,File Format,File type,File format type,File size,Assay term name,Biosample name,Organ,Simple biosample summary,Batch,Target label,Download URL,Derived from,Genome annotation,Library,Paired end identifier,Paired with,Preferred Default,Run type,Read length,Mapped read length (nt),Cropped read length (nt),Cropped read length tolerance (nt),Mapped run type for bam files,Read length units,Output category,Output type,Index of,QC Metric,Lab,Project,Analysis step run,Date created,Analysis step version,Restricted file,Submitter comment,Status,,,,,,,,,,
/files/ENCFF139KZL/,x,x,ENCFF139KZL,ENCFF139KZL,/experiments/ENCSR000EWB/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,639391582,ChIP-seq,K562,"bodily fluid,blood",,/biosamples/ENCBS667AAA/,H3K27me3,/files/ENCFF139KZL/@@download/ENCFF139KZL.bigWig,"/files/ENCFF652TXG/,/files/ENCFF355LXQ/,/files/ENCFF508LLH/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/58d16df3-623b-461f-a9a5-6a245d3a4100/,2020-11-01T04:54:51.001557+00:00,/analysis-step-versions/histone-chip-seq-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
/files/ENCFF834SEY/,x,x,ENCFF834SEY,ENCFF834SEY,/experiments/ENCSR000AKS/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,507390951,ChIP-seq,K562,"blood,bodily fluid",,"/biosamples/ENCBS639AAA/,/biosamples/ENCBS674MPN/",H3K4me1,/files/ENCFF834SEY/@@download/ENCFF834SEY.bigWig,"/files/ENCFF352HXD/,/files/ENCFF420ARY/,/files/ENCFF226FKB/,/files/ENCFF666YXZ/,/files/ENCFF415GHS/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/67664c62-1401-41e0-bf84-c9f41ca9d845/,2020-11-12T11:41:46.677945+00:00,/analysis-step-versions/histone-chip-seq-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
/files/ENCFF959YJV/,x,x,ENCFF959YJV,ENCFF959YJV,/experiments/ENCSR000AKT/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,397853542,ChIP-seq,K562,"blood,bodily fluid",,"/biosamples/ENCBS639AAA/,/biosamples/ENCBS674MPN/",H3K4me2,/files/ENCFF959YJV/@@download/ENCFF959YJV.bigWig,"/files/ENCFF666YXZ/,/files/ENCFF226FKB/,/files/ENCFF446FUS/,/files/ENCFF583GSH/,/files/ENCFF420ARY/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/cf6b4223-7cac-40e0-b697-8f9e1f9a1941/,2020-11-12T11:35:26.368881+00:00,/analysis-step-versions/histone-chip-seq-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
/files/ENCFF601JGK/,x,x,ENCFF601JGK,ENCFF601JGK,/experiments/ENCSR000APE/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,1017107689,ChIP-seq,K562,"blood,bodily fluid",,"/biosamples/ENCBS639AAA/,/biosamples/ENCBS674MPN/",H3K9me3,/files/ENCFF601JGK/@@download/ENCFF601JGK.bigWig,"/files/ENCFF420ARY/,/files/ENCFF155UQU/,/files/ENCFF104THG/,/files/ENCFF226FKB/,/files/ENCFF666YXZ/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/258086a1-1350-48c9-bb58-860c8bfbbfba/,2020-10-29T19:00:00.493937+00:00,/analysis-step-versions/histone-chip-seq-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
/files/ENCFF954LGE/,x,x,ENCFF954LGE,ENCFF954LGE,/experiments/ENCSR075HTM/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,2006979034,ChIP-seq,K562,"bodily fluid,blood",,"/biosamples/ENCBS398HUM/,/biosamples/ENCBS603CUX/",HDAC2,/files/ENCFF954LGE/@@download/ENCFF954LGE.bigWig,"/files/ENCFF936FZX/,/files/ENCFF570EKM/,/files/ENCFF822ODT/,/files/ENCFF613CGQ/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/ee87e624-ea40-482a-a1c2-d10e19f61dae/,2020-11-29T06:23:18.395590+00:00,/analysis-step-versions/tf-chip-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
/files/ENCFF972GVB/,x,x,ENCFF972GVB,ENCFF972GVB,/experiments/ENCSR000EKS,GRCh38,"1_1,1_2,1_3","1,",bigWig,bigWig,,,DNase-seq,K562,,,,Dnase-seq,/files/ENCFF972GVB/@@download/ENCFF972GVB.bigWig,,,,,,,,,,,,,,,read-depth normalized signal,,,ENCODE Processing Pipeline,,,,,,,released,,,,,,,,,,
/files/ENCFF085LMT/,x,,ENCFF085LMT,ENCFF085LMT,/experiments/ENCSR426URK/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,2046632586,ChIP-seq,K562,"bodily fluid,blood",,"/biosamples/ENCBS207UAM/,/biosamples/ENCBS603CUX/",AFF1,/files/ENCFF085LMT/@@download/ENCFF085LMT.bigWig,"/files/ENCFF221QNV/,/files/ENCFF936FZX/,/files/ENCFF822ODT/,/files/ENCFF649LNM/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/b70222d8-bbce-4b29-859e-9e38e20eeab1/,2020-12-04T10:10:15.866475+00:00,/analysis-step-versions/tf-chip-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
/files/ENCFF003ZRP/,x,,ENCFF003ZRP,ENCFF003ZRP,/experiments/ENCSR241LIH/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,1974780201,ChIP-seq,K562,"bodily fluid,blood",,"/biosamples/ENCBS207UAM/,/biosamples/ENCBS603CUX/",AFF1,/files/ENCFF003ZRP/@@download/ENCFF003ZRP.bigWig,"/files/ENCFF822ODT/,/files/ENCFF598MHO/,/files/ENCFF936FZX/,/files/ENCFF882XHJ/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/23936646-c55d-472d-ad53-dc7bfd16a602/,2020-11-28T06:04:17.403409+00:00,/analysis-step-versions/tf-chip-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
/files/ENCFF583LSH/,x,,ENCFF583LSH,ENCFF583LSH,/experiments/ENCSR641BSL/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,715538296,ChIP-seq,K562,"bodily fluid,blood",,"/biosamples/ENCBS190WBQ/,/biosamples/ENCBS542KXR/",AGO1,/files/ENCFF583LSH/@@download/ENCFF583LSH.bigWig,"/files/ENCFF184DGL/,/files/ENCFF401KXT/,/files/ENCFF956EMH/,/files/ENCFF355HTE/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/e77091f1-ad57-4711-a7aa-ccfce22f0391/,2020-12-03T11:54:05.457211+00:00,/analysis-step-versions/tf-chip-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
/files/ENCFF452FAK/,x,,ENCFF452FAK,ENCFF452FAK,/experiments/ENCSR571BUF/,GRCh38,"1_1,2_1","1,2",bigWig,bigWig,,2425881263,ChIP-seq,K562,"bodily fluid,blood",,"/biosamples/ENCBS352MRW/,/biosamples/ENCBS185MQS/",ARHGAP35,/files/ENCFF452FAK/@@download/ENCFF452FAK.bigWig,"/files/ENCFF774BLA/,/files/ENCFF441HMP/,/files/ENCFF822ODT/,/files/ENCFF936FZX/",,,,,,,,,,,,,signal,fold change over control,,,ENCODE Processing Pipeline,ENCODE,/analysis-step-runs/358b868d-b607-45c2-8849-251fa141dc56/,2020-12-03T18:33:29.333192+00:00,/analysis-step-versions/tf-chip-pooled-signal-generation-step-v-1-0/,,,released,,,,,,,,,,
