filename,shortname,editor,analysis,replicate,input_folder
o300331_07-NM_TRIP_Ctrl_A_S46_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,Cas9,1,fastq/editing/Output/
o300331_08-NM_TRIP_Ctrl_B_S58_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,Cas9,2,fastq/editing/Output/
o300331_09-NM_TRIP_Ctrl_C_S59_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,Cas9,3,fastq/editing/Output/
o300331_07-NM_TRIP_Ctrl_A_S46_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,PE,1,fastq/editing/Output/
o300331_08-NM_TRIP_Ctrl_B_S58_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,PE,2,fastq/editing/Output/
o300331_09-NM_TRIP_Ctrl_C_S59_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,PE,3,fastq/editing/Output/
o300331_07-NM_TRIP_Ctrl_A_S46_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,ABE8e,1,fastq/editing/Output/
o300331_08-NM_TRIP_Ctrl_B_S58_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,ABE8e,2,fastq/editing/Output/
o300331_09-NM_TRIP_Ctrl_C_S59_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,ABE8e,3,fastq/editing/Output/
o300331_07-NM_TRIP_Ctrl_A_S46_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,BE4max,1,fastq/editing/Output/
o300331_08-NM_TRIP_Ctrl_B_S58_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,BE4max,2,fastq/editing/Output/
o300331_09-NM_TRIP_Ctrl_C_S59_barcode_5trim.fastq.gz,TRIP-lib,Ctrl,BE4max,3,fastq/editing/Output/
o300331_10-NM_TRIP_Cas9_A_S65_barcode_5trim.fastq.gz,TRIP-lib,Cas9,Cas9,1,fastq/editing/Output/
o300331_11-NM_TRIP_Cas9_B_S53_barcode_5trim.fastq.gz,TRIP-lib,Cas9,Cas9,2,fastq/editing/Output/
o300331_12-NM_TRIP_Cas9_C_S63_barcode_5trim.fastq.gz,TRIP-lib,Cas9,Cas9,3,fastq/editing/Output/
o300331_13-NM_TRIP_ABE8e_A_S50_barcode_5trim.fastq.gz,TRIP-lib,ABE8e,ABE8e,1,fastq/editing/Output/
o300331_14-NM_TRIP_ABE8e_B_S51_barcode_5trim.fastq.gz,TRIP-lib,ABE8e,ABE8e,2,fastq/editing/Output/
o300331_15-NM_TRIP_ABE8e_C_S56_barcode_5trim.fastq.gz,TRIP-lib,ABE8e,ABE8e,3,fastq/editing/Output/
o300331_16-NM_TRIP_BE4max_A_S55_barcode_5trim.fastq.gz,TRIP-lib,BE4max,BE4max,1,fastq/editing/Output/
o300331_17-NM_TRIP_BE4max_B_S44_barcode_5trim.fastq.gz,TRIP-lib,BE4max,BE4max,2,fastq/editing/Output/
o300331_18-NM_TRIP_BE4max_C_S61_barcode_5trim.fastq.gz,TRIP-lib,BE4max,BE4max,3,fastq/editing/Output/
o300331_19-NM_TRIP_PE_A_S62_barcode_5trim.fastq.gz,TRIP-lib,PE,PE,1,fastq/editing/Output/
o300331_20-NM_TRIP_PE_B_S52_barcode_5trim.fastq.gz,TRIP-lib,PE,PE,2,fastq/editing/Output/
o300331_21-NM_TRIP_PE_C_S64_barcode_5trim.fastq.gz,TRIP-lib,PE,PE,3,fastq/editing/Output/
